date,meta_spend,meta_conv_value,meta_clicks,sessions,cart_adds,checkouts,purchases,google_spend,google_conv_value,google_clicks
2026-07-15,2.4,0,4,86,12,1,2,0,0,0
2026-07-16,20.9,0,52,175,27,4,5,0,0,0
2026-07-17,19.34,0,60,262,3,0,0,0,0,0
2026-07-18,18.71,0,81,73,9,1,2,0,0,0
2026-07-19,21.46,0,89,104,7,1,0,0,0,0
2026-07-20,17.03,0,49,70,14,5,0,0,0,0
2026-07-21,19.25,0,46,337,29,9,4,21.04,0,18
2026-07-22,19.46,0,69,222,16,6,4,43.18,110.97,51
2026-07-23,20.33,0,37,167,11,6,3,31.09,126.97,65
2026-07-24,23.34,0,65,149,23,6,4,41.51,338.78,62
2026-07-25,14.99,0,58,139,11,2,1,40.88,0,73
2026-07-26,26.58,54.94,126,181,20,5,6,42.46,183.95,95
2026-07-27,21.32,0,168,191,16,5,0,35.04,0,72
2026-07-28,10.9,0,78,44,1,1,0,12.76,0,24
